# t Rcm_x Rcm_y RMS momentum d_min
1.41000000e-01 -1.35809352e-02 -3.75514959e-02 3.68873100e-01 2.06617619e-01 1.04897640e-02
1.42000000e-01 -1.35789949e-02 -3.75501737e-02 3.69543302e-01 2.06617619e-01 1.28147671e-02
1.43000000e-01 -1.35770547e-02 -3.75488516e-02 3.70172463e-01 2.06617619e-01 3.80616725e-03
1.44000000e-01 -1.35751144e-02 -3.75475294e-02 3.70774104e-01 2.06617619e-01 1.57560542e-02
1.45000000e-01 -1.35731741e-02 -3.75462072e-02 3.71371167e-01 2.06617619e-01 4.47470595e-03
1.46000000e-01 -1.35712339e-02 -3.75448850e-02 3.71990023e-01 2.06617619e-01 1.49055228e-02
1.47000000e-01 -1.35692936e-02 -3.75435628e-02 3.72653303e-01 2.06617619e-01 6.18958697e-03
1.48000000e-01 -1.35673534e-02 -3.75422406e-02 3.73387896e-01 2.06617619e-01 3.11114936e-03
1.49000000e-01 -1.35654131e-02 -3.75409185e-02 3.74242406e-01 2.06617619e-01 6.37811796e-03
1.50000000e-01 -1.35634729e-02 -3.75395963e-02 3.75340445e-01 2.06617619e-01 5.59734907e-03
1.51000000e-01 -1.35615326e-02 -3.75382741e-02 3.76841763e-01 2.06617619e-01 8.63508607e-03
1.52000000e-01 -1.35595923e-02 -3.75369519e-02 3.78643642e-01 2.06617619e-01 6.53985414e-03
1.53000000e-01 -1.35576521e-02 -3.75356297e-02 3.80605623e-01 2.06617619e-01 1.37434284e-02
1.54000000e-01 -1.35557118e-02 -3.75343076e-02 3.82638033e-01 2.06617619e-01 1.14517585e-03
1.55000000e-01 -1.35537716e-02 -3.75329854e-02 3.84689836e-01 2.06617619e-01 1.14971288e-02
1.56000000e-01 -1.35518313e-02 -3.75316632e-02 3.86736215e-01 2.06617619e-01 6.63447523e-03
1.57000000e-01 -1.35498911e-02 -3.75303410e-02 3.88765067e-01 2.06617619e-01 6.23407197e-03
1.58000000e-01 -1.35479508e-02 -3.75290188e-02 3.90770310e-01 2.06617619e-01 3.15754522e-03
1.59000000e-01 -1.35460105e-02 -3.75276967e-02 3.92754741e-01 2.06617619e-01 1.49316892e-03
1.60000000e-01 -1.35440703e-02 -3.75263745e-02 3.94728785e-01 2.06617619e-01 4.02229259e-03
1.61000000e-01 -1.35421300e-02 -3.75250523e-02 3.96702364e-01 2.06617619e-01 5.64050817e-03
1.62000000e-01 -1.35401898e-02 -3.75237301e-02 3.98673703e-01 2.06617619e-01 8.60157489e-03
1.63000000e-01 -1.35382495e-02 -3.75224079e-02 4.00626316e-01 2.06617619e-01 1.10941483e-02
1.64000000e-01 -1.35363093e-02 -3.75210857e-02 4.02536570e-01 2.06617619e-01 7.93345424e-03
1.65000000e-01 -1.35343690e-02 -3.75197636e-02 4.04390748e-01 2.06617619e-01 5.75537562e-03
1.66000000e-01 -1.35324287e-02 -3.75184414e-02 4.06184872e-01 2.06617619e-01 4.02048463e-03
1.67000000e-01 -1.35304885e-02 -3.75171192e-02 4.07922179e-01 2.06617619e-01 8.33142214e-03
